entity_id,interest_code,interest_desc
480,CIV,Civic Affairs
480,DEM,Democratic Politics
480,TAX,Taxation Law
480,TRE,Trusts & Estates Law
485,NULL,NULL
490,NULL,NULL
496,AFC,African Interests
496,BAT,Basketball
496,BND,Basic Needs
496,CIV,Civic Affairs
496,CLI,Climate
496,DEM,Democratic Politics
496,ENT,Entertainment
496,ENV,Environment
496,GOL,Golf
496,HOR,Horses
496,INT,International Affairs
496,JOU,Journalism
496,MED,Media
496,MUS,Music
501,BCL,Business & Corporate Law
501,CIV,Civic Affairs
501,DEM,Democratic Politics
501,IMG,Immigration Law
501,RST,Real Estate Law
517,ENV,Environment
517,HEA,Health
517,IND,Interior Design
543,WPR,Wills & Probate Law
548,CIV,Civic Affairs
548,DEM,Democratic Politics
548,RLA,Real Estate
556,NULL,NULL
567,GOL,Golf
567,RLA,Real Estate
567,SOC,Soccer
572,CIV,Civic Affairs
572,REP,Republican Politics
574,NULL,NULL
576,NULL,NULL
583,FML,Family Law
583,PIJ,Personal Injury Law
583,WPR,Wills & Probate Law
597,NULL,NULL
604,CIV,Civic Affairs
604,REP,Republican Politics
609,CIV,Civic Affairs
609,DEM,Democratic Politics
617,BND,Basic Needs
617,CIV,Civic Affairs
617,DIV,Diverse Constituencies
617,HUR,Human Rights
618,ART,Arts
618,EDU,Education
618,ENV,Environment
618,FAM,Family
618,GOL,Golf
618,TRV,Travel
632,CIV,Civic Affairs
632,REP,Republican Politics
642,NULL,NULL
647,BCL,Business & Corporate Law
647,SEC,Securities Law
667,CRM,Criminal Law
667,GPR,General Practice Law
667,LTG,Litigation
706,NULL,NULL
713,AUT,Automobiles
724,ADL,Administrative Law
724,CIV,Civic Affairs
724,CRL,Civil Rights Law
724,CST,Constitutional Law
724,DEM,Democratic Politics
724,DIV,Diverse Constituencies
724,ISR,Israeli Interests
732,NULL,NULL
772,NULL,NULL
775,NULL,NULL
776,CIV,Civic Affairs
776,REP,Republican Politics
790,NULL,NULL
792,ARH,Architecture
792,ARM,Armenian Interests
792,CIV,Civic Affairs
792,DEM,Democratic Politics
792,HEA,Health
792,REP,Republican Politics
806,BCL,Business & Corporate Law
806,CIV,Civic Affairs
806,DEM,Democratic Politics
806,REP,Republican Politics
806,VIN,Vintners
806,WIN,Wine
806,WNL,Wine Law
809,CIV,Civic Affairs
809,DEM,Democratic Politics
809,GAR,Gardening
809,HOB,Hobbies
841,BTC,Biotechnology
841,CIV,Civic Affairs
841,REP,Republican Politics
846,COM,Computers
846,HEA,Health
851,NULL,NULL
865,NULL,NULL
867,CIV,Civic Affairs
867,DEM,Democratic Politics
867,DIV,Diverse Constituencies
867,EDU,Education
867,JUC,Jewish Interests
867,PCY,Public Policy
867,POL,Politics
867,WOM,Women
883,CIV,Civic Affairs
883,DEM,Democratic Politics
883,POL,Politics
885,NULL,NULL
899,NULL,NULL
900,BCL,Business & Corporate Law
900,RST,Real Estate Law
900,TAX,Taxation Law
953,NULL,NULL
965,NULL,NULL
968,NULL,NULL
978,NULL,NULL
987,NULL,NULL
1006,AQU,Aquatic Sports
1006,ART,Arts
1006,ASC,Asian Interests
1006,CIV,Civic Affairs
1006,DEM,Democratic Politics
1006,EDU,Education
1006,REP,Republican Politics
1006,RST,Real Estate Law
1006,ZPL,"Zoning, Planning & Land Use Law"
1015,CHE,Chemistry/Chemical Engineering
1015,SCE,Science
1023,AST,Astronomy
1023,PHY,Physics
1023,SCE,Science
1035,NULL,NULL
1057,NULL,NULL
1064,NULL,NULL
1066,NULL,NULL
1092,NULL,NULL
1102,NULL,NULL
1103,NULL,NULL
1109,NULL,NULL
1121,NULL,NULL
1126,WIN,Wine
1128,NULL,NULL
1151,ADR,Alternative Dispute Resolution Law
1151,CSL,Construction Law
1155,NULL,NULL
1162,NULL,NULL
1163,NULL,NULL
1168,NULL,NULL
1169,NULL,NULL
1177,NULL,NULL
1184,ARH,Architecture
1194,NULL,NULL
1196,ART,Arts
1196,BIO,Biology
1196,CIV,Civic Affairs
1196,HEA,Health
1196,JUC,Jewish Interests
1196,MED,Media
1196,MEI,Medicine
1196,REP,Republican Politics
1197,NULL,NULL
1202,NULL,NULL
1207,BCL,Business & Corporate Law
1207,CIV,Civic Affairs
1207,DEM,Democratic Politics
1207,INB,International Business
1207,INT,International Affairs
1207,ISR,Israeli Interests
1207,LAW,Law
1207,TEK,Technology
1208,NULL,NULL
1222,NULL,NULL
1233,HEA,Health
1234,HEA,Health
1245,CIV,Civic Affairs
1245,REP,Republican Politics
1262,BCL,Business & Corporate Law
1262,CML,Commercial Law
1262,LTG,Litigation
1262,RST,Real Estate Law
1287,NULL,NULL
1296,CHR,Christianity
1296,REL,Religion
1301,NULL,NULL
1302,NULL,NULL
1306,ART,Arts
1306,EDU,Education
1306,MUS,Music
1315,ADL,Administrative Law
1315,EVL,Environmental Law
1323,CIV,Civic Affairs
1323,MIL,Military
1328,NULL,NULL
1330,CIV,Civic Affairs
1330,DEM,Democratic Politics
1335,NULL,NULL
1339,NULL,NULL
1347,NULL,NULL
1353,CIV,Civic Affairs
1353,DEM,Democratic Politics
1373,NULL,NULL
1376,CIV,Civic Affairs
1376,DEM,Democratic Politics
1376,POL,Politics
1379,NULL,NULL
1381,ACC,Accounting
1381,ART,Arts
1381,ASC,Asian Interests
1381,CIV,Civic Affairs
1381,DEM,Democratic Politics
1381,DIV,Diverse Constituencies
1381,EDU,Education
1381,HEA,Health
1381,INB,International Business
1381,INT,International Affairs
1381,JUC,Jewish Interests
1381,LAT,Latin American Interests
1381,MUS,Music
1381,OPE,Opera
1381,POL,Politics
1381,REA,Reading
1381,REP,Republican Politics
1381,RUN,Running/Jogging
1381,SKI,Snow Skiing
1381,YOU,Youth
1417,NULL,NULL
1425,NULL,NULL
1428,AQU,Aquatic Sports
1432,BTC,Biotechnology
1432,CIV,Civic Affairs
1432,DEM,Democratic Politics
1443,NULL,NULL
1447,BCL,Business & Corporate Law
1447,CIV,Civic Affairs
1447,DEM,Democratic Politics
1447,LTG,Litigation
1447,RST,Real Estate Law
1456,NULL,NULL
1459,CIV,Civic Affairs
1459,DEM,Democratic Politics
1459,ENV,Environment
1459,HEA,Health
1459,MED,Media
1459,MEI,Medicine
1459,SCE,Science
1466,NULL,NULL
1489,NULL,NULL
1495,NULL,NULL
1506,CIV,Civic Affairs
1506,REP,Republican Politics
1508,CIV,Civic Affairs
1508,DEM,Democratic Politics
1511,CIV,Civic Affairs
1511,REP,Republican Politics
1513,RLA,Real Estate
1518,CIV,Civic Affairs
1518,DEM,Democratic Politics
1518,ISC,Insurance Law
1518,LTG,Litigation
1518,PDL,Product Liability Law
1519,CIV,Civic Affairs
1519,REP,Republican Politics
1532,WIN,Wine
1564,CIV,Civic Affairs
1564,DEM,Democratic Politics
1568,NULL,NULL
1581,AFC,African Interests
1581,ATH,Athletics
1581,CIV,Civic Affairs
1581,DEM,Democratic Politics
1581,ENV,Environment
1581,FOO,Football
1581,INT,International Affairs
1581,LIB,Library
1581,NAT,Natural Resources
1581,RLA,Real Estate
1581,RUN,Running/Jogging
1584,NULL,NULL
1594,NULL,NULL
1600,NULL,NULL
1602,BAT,Basketball
1602,BOA,Boating
1602,BUS,Business
1602,CIV,Civic Affairs
1602,EDU,Education
1602,POL,Politics
1602,REP,Republican Politics
1602,SKI,Snow Skiing
1602,TRV,Travel
1602,YOU,Youth
1616,NULL,NULL
1629,NULL,NULL
1652,CIV,Civic Affairs
1652,DEM,Democratic Politics
1652,EDL,Education Law
1652,LEM,Labor & Employment Law
1652,REP,Republican Politics
1655,CIV,Civic Affairs
1655,DEM,Democratic Politics
1677,NULL,NULL
1681,NULL,NULL
1687,CIV,Civic Affairs
1687,DEM,Democratic Politics
1690,BCL,Business & Corporate Law
1690,BFL,Banking & Finance Law
1690,BNK,Bankruptcy Law
1690,ISC,Insurance Law
1690,MAL,Mergers & Acquisitions Law
1699,NULL,NULL
1711,BCL,Business & Corporate Law
1711,BFL,Banking & Finance Law
1711,FIS,Fishing
1711,FLY,Flying/Airplane Ownership
1711,HIS,History
1711,RST,Real Estate Law
1721,NULL,NULL
1727,CIV,Civic Affairs
1727,DEM,Democratic Politics
1727,POL,Politics
1727,YOU,Youth
1758,NULL,NULL
1762,NULL,NULL
1768,CIV,Civic Affairs
1768,DEM,Democratic Politics
1768,EDU,Education
1768,INT,International Affairs
1773,EDU,Education
1773,INT,International Affairs
1790,NULL,NULL
1796,ELD,Elder Law
1796,TRE,Trusts & Estates Law
1796,WPR,Wills & Probate Law
1802,NULL,NULL
1804,NULL,NULL
1816,NULL,NULL
1828,TRE,Trusts & Estates Law
1828,WPR,Wills & Probate Law
1845,CIV,Civic Affairs
1845,DEM,Democratic Politics
1850,GOV,Government Law
1868,NULL,NULL
1871,NULL,NULL
1876,NULL,NULL
1893,WAT,Water Conservation
1920,ATH,Athletics
1930,CIV,Civic Affairs
1930,DEM,Democratic Politics
1949,CIV,Civic Affairs
1949,DEM,Democratic Politics
1949,DIV,Diverse Constituencies
1949,WOM,Women
1975,NULL,NULL
1977,NULL,NULL
2008,NULL,NULL
2017,CIV,Civic Affairs
2017,REP,Republican Politics
2032,NULL,NULL
2034,BFL,Banking & Finance Law
2034,CIV,Civic Affairs
2034,DEM,Democratic Politics
2034,DIV,Diverse Constituencies
2034,INL,International Law
2034,WOM,Women
2055,NULL,NULL
2066,CIV,Civic Affairs
2066,DEM,Democratic Politics
2066,DIV,Diverse Constituencies
2066,ENT,Entertainment
2066,MED,Media
2066,MUS,Music
2066,POL,Politics
2066,WOM,Women
2092,NULL,NULL
2095,NULL,NULL
2097,BCL,Business & Corporate Law
2097,CIV,Civic Affairs
2097,CML,Commercial Law
2097,DEM,Democratic Politics
2097,SEC,Securities Law
2109,CIV,Civic Affairs
2109,DEM,Democratic Politics
2113,LMP,Legal Malpractice
2113,PIJ,Personal Injury Law
2114,EDU,Education
2114,ENV,Environment
2114,FOD,Food
2114,NAC,Native American Interests
2114,NAT,Natural Resources
2114,SWE,Social Welfare
2115,CIV,Civic Affairs
2115,REP,Republican Politics
2116,CIV,Civic Affairs
2116,REP,Republican Politics
2121,NULL,NULL
2130,NULL,NULL
2131,LEM,Labor & Employment Law
2134,BCL,Business & Corporate Law
2134,EMD,Eminent Domain Law
2134,GOV,Government Law
2134,RST,Real Estate Law
2134,ZPL,"Zoning, Planning & Land Use Law"
2153,NULL,NULL
2164,NULL,NULL
2166,NULL,NULL
2170,NULL,NULL
2186,CIV,Civic Affairs
2186,DEM,Democratic Politics
2199,CIV,Civic Affairs
2199,REP,Republican Politics
2204,NULL,NULL
2232,CHE,Chemistry/Chemical Engineering
2232,EDU,Education
2232,SCE,Science
2239,CIV,Civic Affairs
2239,DEM,Democratic Politics
2239,POL,Politics
2257,NULL,NULL
2279,NULL,NULL
2281,NULL,NULL
2286,NULL,NULL
2308,NULL,NULL
2313,POV,Poverty/International Development
2315,BND,Basic Needs
2326,NULL,NULL
2339,NULL,NULL
2343,NULL,NULL
2345,ART,Arts
2345,BIR,Bird Watching
2345,CIV,Civic Affairs
2345,DEM,Democratic Politics
2345,ENV,Environment
2345,HEA,Health
2345,HIV,HIV/AIDS
2345,HOB,Hobbies
2345,PER,Performing Arts
2345,REP,Republican Politics
2345,VEN,Venture Capital
2345,YOU,Youth
2346,NULL,NULL
2362,HEA,Health
2379,AQU,Aquatic Sports
2388,NULL,NULL
2389,CIV,Civic Affairs
2389,DEM,Democratic Politics
2389,DIV,Diverse Constituencies
2389,WOM,Women
2394,CIV,Civic Affairs
2394,REP,Republican Politics
2412,AQU,Aquatic Sports
2436,NULL,NULL
2463,NULL,NULL
2520,NULL,NULL
2532,EDU,Education
2546,BCL,Business & Corporate Law
2546,BUS,Business
2546,EDL,Education Law
2559,NULL,NULL
2615,CIV,Civic Affairs
2615,DEM,Democratic Politics
2616,NULL,NULL
2629,ART,Arts
2629,CIV,Civic Affairs
2629,CLA,Classical Music
2629,DEM,Democratic Politics
2629,PER,Performing Arts
2642,ASA,Asian Art
2642,ASC,Asian Interests
2653,BCL,Business & Corporate Law
2653,CIV,Civic Affairs
2653,CMN,Communications Law
2653,CSL,Construction Law
2653,DEM,Democratic Politics
2653,ETL,Entertainment Law
2653,TCS,Technology & Science Law
2657,HEA,Health
2665,AQU,Aquatic Sports
2666,NULL,NULL
2681,NULL,NULL
2685,NULL,NULL
2694,ART,Arts
2694,EDU,Education
2694,MUS,Music
2705,NULL,NULL
2712,CIV,Civic Affairs
2712,DEM,Democratic Politics
2723,CIV,Civic Affairs
2723,REP,Republican Politics
2739,TAX,Taxation Law
2740,CIV,Civic Affairs
2740,DEI,Diversity/Equity/Inclusion
2740,DEM,Democratic Politics
2740,HEA,Health
2740,LTG,Litigation
2740,MEI,Medicine
2740,SWE,Social Welfare
2740,YOU,Youth
2745,NULL,NULL
2748,CIV,Civic Affairs
2748,LTG,Litigation
2748,REP,Republican Politics
2748,RST,Real Estate Law
2757,NULL,NULL
2758,NULL,NULL
2761,NULL,NULL
2775,NULL,NULL
2777,AQU,Aquatic Sports
2791,NULL,NULL
2795,CIV,Civic Affairs
2795,REP,Republican Politics
2810,NULL,NULL
2819,NULL,NULL
2820,NULL,NULL
2822,NULL,NULL
2842,AQU,Aquatic Sports
2883,NULL,NULL
2889,BCL,Business & Corporate Law
2889,BFL,Banking & Finance Law
2889,CIV,Civic Affairs
2889,CTR,Contract Law
2889,DEM,Democratic Politics
2889,TRE,Trusts & Estates Law
2889,WPR,Wills & Probate Law
2893,CIV,Civic Affairs
2893,DEM,Democratic Politics
2893,HCR,Health Care Law
2893,LTG,Litigation
2893,PDL,Product Liability Law
2893,PIJ,Personal Injury Law
2899,CIV,Civic Affairs
2899,DEM,Democratic Politics
2917,BCL,Business & Corporate Law
2917,RST,Real Estate Law
2917,TAX,Taxation Law
2932,CIV,Civic Affairs
2932,POL,Politics
2935,NULL,NULL
2936,CIV,Civic Affairs
2936,REP,Republican Politics
2936,RLA,Real Estate
2936,VEN,Venture Capital
2970,AQU,Aquatic Sports
2996,NULL,NULL
3012,BFL,Banking & Finance Law
3012,CML,Commercial Law
3012,INL,International Law
3025,CIV,Civic Affairs
3025,DEM,Democratic Politics
3050,ART,Arts
3055,AQU,Aquatic Sports
3055,BND,Basic Needs
3059,BNK,Bankruptcy Law
3059,DBT,Debtor & Creditor Law
3059,FML,Family Law
3059,LTG,Litigation
3069,BCL,Business & Corporate Law
3069,BND,Basic Needs
3069,CML,Commercial Law
3069,IPR,Intellectual Property Law
3079,NULL,NULL
3082,RLA,Real Estate
3100,CRL,Civil Rights Law
3100,LTG,Litigation
3100,RST,Real Estate Law
3109,NULL,NULL
3113,NULL,NULL
3119,APP,Appellate Practice Law
3119,HCR,Health Care Law
3119,LAW,Law
3119,LTG,Litigation
3120,BCL,Business & Corporate Law
3120,LTG,Litigation
3121,NULL,NULL
3133,BND,Basic Needs
3133,CRE,Crew/Rowing
3133,ENV,Environment
3133,LIB,Library
3133,POL,Politics
3133,RLA,Real Estate
3133,WAT,Water Conservation
3150,NULL,NULL
3162,NULL,NULL
3178,NULL,NULL
3186,NULL,NULL
3187,NULL,NULL
3196,NULL,NULL
3198,NULL,NULL
3233,FML,Family Law
3233,WPR,Wills & Probate Law
3234,CIV,Civic Affairs
3234,DEM,Democratic Politics
3241,NULL,NULL
3261,BND,Basic Needs
3284,CIV,Civic Affairs
3284,DEM,Democratic Politics
3295,CIV,Civic Affairs
3295,REP,Republican Politics
3297,ECO,Economics
3297,EDU,Education
3305,NULL,NULL
3308,AQU,Aquatic Sports
3308,ATH,Athletics
3313,NULL,NULL
3314,NULL,NULL
3327,NULL,NULL
3328,CIV,Civic Affairs
3328,FIS,Fishing
3328,HUN,Hunting
3328,PHY,Physics
3328,REP,Republican Politics
3349,ATH,Athletics
3365,FML,Family Law
3365,GPR,General Practice Law
3365,LTG,Litigation
3383,HEA,Health
3386,CIV,Civic Affairs
3386,DEM,Democratic Politics
3386,USL,U.S. Latino Interests
3400,CIV,Civic Affairs
3400,DEM,Democratic Politics
3407,NULL,NULL
3408,CIV,Civic Affairs
3408,DEM,Democratic Politics
3408,SWE,Social Welfare
3433,CIV,Civic Affairs
3433,DEM,Democratic Politics
3452,NULL,NULL
3494,ARH,Architecture
3494,EDU,Education
3495,NULL,NULL
3528,NULL,NULL
3535,CRL,Civil Rights Law
3535,ISC,Insurance Law
3535,LTG,Litigation
3535,PIJ,Personal Injury Law
3541,HEA,Health
3541,JUC,Jewish Interests
3545,AQU,Aquatic Sports
3545,CIV,Civic Affairs
3545,DEM,Democratic Politics
3545,FIS,Fishing
3545,PHO,Photography
3545,REL,Religion
3545,YOU,Youth
3546,CIV,Civic Affairs
3546,DEM,Democratic Politics
3569,CIV,Civic Affairs
3569,DEM,Democratic Politics
3569,DIV,Diverse Constituencies
3569,WOM,Women
3570,NULL,NULL
3579,BOA,Boating
3579,CIV,Civic Affairs
3579,LIB,Library
3579,REP,Republican Politics
3579,YOU,Youth
3580,CIV,Civic Affairs
3580,DEM,Democratic Politics
3583,ADL,Administrative Law
3583,ATR,Antitrust & Trade Regulation Law
3583,NTR,Natural Resources Law
3603,CIV,Civic Affairs
3603,REP,Republican Politics
3627,NULL,NULL
3632,CIV,Civic Affairs
3632,DEM,Democratic Politics
3642,NULL,NULL
3678,NULL,NULL
3708,AQU,Aquatic Sports
3708,BIC,Cycling
3708,CIV,Civic Affairs
3708,MUS,Music
3708,REP,Republican Politics
3711,NULL,NULL
3730,NULL,NULL
3734,NULL,NULL
3777,NULL,NULL
3785,CIV,Civic Affairs
3785,DEM,Democratic Politics
3793,NULL,NULL
3798,CIV,Civic Affairs
3798,DEI,Diversity/Equity/Inclusion
3798,DEM,Democratic Politics
3798,FGC,First Generation College
3798,WIN,Wine
3798,WNL,Wine Law
3838,NULL,NULL
3856,AGR,Agriculture
3856,ART,Arts
3856,ATH,Athletics
3856,CIV,Civic Affairs
3856,DEM,Democratic Politics
3856,EDU,Education
3856,FOO,Football
3856,POL,Politics
3856,REP,Republican Politics
3857,NULL,NULL
3860,CIV,Civic Affairs
3860,CRM,Criminal Law
3860,DEM,Democratic Politics
3897,CIV,Civic Affairs
3897,REP,Republican Politics
3900,CIV,Civic Affairs
3900,DEM,Democratic Politics
3923,ART,Arts
3923,BAT,Basketball
3923,CIV,Civic Affairs
3923,CLA,Classical Music
3923,CVL,Civil Liberties
3923,DEM,Democratic Politics
3923,EDU,Education
3923,JUC,Jewish Interests
3923,JUD,Judaism
3923,MAR,Marine Life
3923,POL,Politics
3923,RLA,Real Estate
3923,RST,Real Estate Law
3923,WOM,Women
3935,NULL,NULL
3942,NULL,NULL
3948,NULL,NULL
3955,NULL,NULL
3966,NULL,NULL
3972,BUS,Business
3972,CIV,Civic Affairs
3972,NON,Non-Profit Business
3972,REP,Republican Politics
3974,CIV,Civic Affairs
3974,DEM,Democratic Politics
3978,AQU,Aquatic Sports
3978,HEA,Health
3978,YOU,Youth
3981,AQU,Aquatic Sports
4027,NULL,NULL
4029,ATH,Athletics
4029,CIV,Civic Affairs
4029,COM,Computers
4029,REP,Republican Politics
4032,NULL,NULL
4039,GOL,Golf
4039,TEN,Tennis
4042,AID,Financial Aid
4042,EDU,Education
4042,ESC,Endowments/Scholarships
4042,YOG,Yoga
4042,YOU,Youth
4043,NULL,NULL
4054,NULL,NULL
4055,NULL,NULL
4057,NULL,NULL
4059,NULL,NULL
4068,NULL,NULL
4113,NULL,NULL
4118,NULL,NULL
4138,CIV,Civic Affairs
4138,DEM,Democratic Politics
4152,NULL,NULL
4161,NULL,NULL
4166,NULL,NULL
4183,NULL,NULL
4184,BND,Basic Needs
4191,NULL,NULL
4201,NULL,NULL
4216,NULL,NULL
4251,NULL,NULL
4262,NULL,NULL
4273,BCL,Business & Corporate Law
4273,CIV,Civic Affairs
4273,DEM,Democratic Politics
4273,ETL,Entertainment Law
4273,LTG,Litigation
4275,NULL,NULL
4287,BCL,Business & Corporate Law
4287,CIV,Civic Affairs
4287,REP,Republican Politics
4287,TAX,Taxation Law
4287,TRE,Trusts & Estates Law
4292,NULL,NULL
4298,NULL,NULL
4306,GPR,General Practice Law
4310,LTG,Litigation
4310,RST,Real Estate Law
4330,NULL,NULL
4332,FIN,Finance
4332,IVM,Investment Management
4332,WRI,Writing
4357,NULL,NULL
4360,NULL,NULL
4370,ART,Arts
4370,CAO,Catholic Church/Roman Catholic
4370,CIV,Civic Affairs
4370,DEM,Democratic Politics
4370,DRA,Dramatic Arts
4370,EDU,Education
4370,HEA,Health
4370,POL,Politics
4370,REP,Republican Politics
4370,YOU,Youth
4390,ARH,Architecture
4390,BND,Basic Needs
4408,NULL,NULL
4425,NULL,NULL
4431,ATH,Athletics
4431,EDU,Education
4431,HUN,Hunting
4431,YOU,Youth
4444,NULL,NULL
4452,AQU,Aquatic Sports
4452,ATH,Athletics
4454,ATH,Athletics
4454,CKG,Cooking
4454,FOD,Food
4454,HEA,Health
4454,HIK,Hiking
4454,YOU,Youth
4467,CIV,Civic Affairs
4467,DEM,Democratic Politics
4467,DIV,Diverse Constituencies
4467,WOM,Women
4475,NULL,NULL
4480,CIV,Civic Affairs
4480,REP,Republican Politics
4485,NULL,NULL
4504,ATH,Athletics
4504,BAT,Basketball
4504,GOL,Golf
4511,AQU,Aquatic Sports
4513,ARH,Architecture
4513,ART,Arts
4513,CIV,Civic Affairs
4513,DEM,Democratic Politics
4513,ENV,Environment
4513,GAR,Gardening
4513,RLA,Real Estate
4521,NULL,NULL
4534,BTC,Biotechnology
4547,CIV,Civic Affairs
4547,DEM,Democratic Politics
4555,CRL,Civil Rights Law
4555,CRM,Criminal Law
4555,LTG,Litigation
4576,NULL,NULL
4578,NULL,NULL
4581,BND,Basic Needs
4589,CIV,Civic Affairs
4589,DEM,Democratic Politics
4624,NULL,NULL
4635,BCL,Business & Corporate Law
4635,RST,Real Estate Law
4643,NULL,NULL
4656,CON,Consulting
4656,EDU,Education
4656,FOD,Food
4656,TRV,Travel
4656,WOM,Women
4656,YOU,Youth
4664,CIV,Civic Affairs
4664,DEM,Democratic Politics
4664,POL,Politics
4669,CIV,Civic Affairs
4669,CSL,Construction Law
4669,DEM,Democratic Politics
4669,LTG,Litigation
4681,NULL,NULL
4715,NULL,NULL
4723,DEM,Democratic Politics
4723,EDU,Education
4769,ART,Arts
4769,CIV,Civic Affairs
4769,DEM,Democratic Politics
4769,DRA,Dramatic Arts
4769,EDU,Education
4769,ENT,Entertainment
4769,HEA,Health
4769,LIT,Literature
4769,MED,Media
4801,ATH,Athletics
4801,CIV,Civic Affairs
4801,DEM,Democratic Politics
4801,EDU,Education
4801,REP,Republican Politics
4801,RLA,Real Estate
4801,VEN,Venture Capital
4804,NULL,NULL
4820,NULL,NULL
4837,CRM,Criminal Law
4837,GPR,General Practice Law
4837,PIJ,Personal Injury Law
4837,TRE,Trusts & Estates Law
4846,NULL,NULL
4850,CIV,Civic Affairs
4850,DEM,Democratic Politics
4850,ECO,Economics
4850,EDU,Education
4850,ENV,Environment
4863,AQU,Aquatic Sports
4863,WIN,Wine
4875,BCL,Business & Corporate Law
4875,TRE,Trusts & Estates Law
4875,WPR,Wills & Probate Law
4893,AQU,Aquatic Sports
4902,ISC,Insurance Law
4902,LTG,Litigation
4902,TRE,Trusts & Estates Law
4909,NULL,NULL
4918,NULL,NULL
4923,NULL,NULL
4946,NULL,NULL
4956,NULL,NULL
4964,NULL,NULL
4974,AQU,Aquatic Sports
4994,NULL,NULL
5004,NULL,NULL
5023,BCL,Business & Corporate Law
5023,CSL,Construction Law
5023,INL,International Law
5023,PDL,Product Liability Law
5024,NULL,NULL
5042,NULL,NULL
5043,AQU,Aquatic Sports
5043,CIV,Civic Affairs
5043,REP,Republican Politics
5050,CIV,Civic Affairs
5050,DEM,Democratic Politics
5058,NULL,NULL
5065,DRA,Dramatic Arts
5065,EDU,Education
5065,ENR,Entrepreneurship
5065,HEA,Health
5065,MUS,Music
5065,POL,Politics
5084,CIV,Civic Affairs
5084,DEM,Democratic Politics
5084,DIV,Diverse Constituencies
5084,ISR,Israeli Interests
5101,NULL,NULL
5109,NULL,NULL
5111,ART,Arts
5111,CIV,Civic Affairs
5111,DEM,Democratic Politics
5111,DIV,Diverse Constituencies
5111,WOM,Women
5126,BCL,Business & Corporate Law
5126,BNK,Bankruptcy Law
5126,CIV,Civic Affairs
5126,CRL,Civil Rights Law
5126,CSL,Construction Law
5126,INF,Infrastructure Law
5126,LTG,Litigation
5126,REP,Republican Politics
5126,RST,Real Estate Law
5137,NULL,NULL
5163,NULL,NULL
5164,NULL,NULL
5173,BCL,Business & Corporate Law
5173,LTG,Litigation
5173,RST,Real Estate Law
5176,CIV,Civic Affairs
5176,REP,Republican Politics
5181,BCL,Business & Corporate Law
5181,SEC,Securities Law
5200,CML,Commercial Law
5200,INL,International Law
5201,BAT,Basketball
5201,CIV,Civic Affairs
5201,DEM,Democratic Politics
5201,DIV,Diverse Constituencies
5201,ISR,Israeli Interests
5201,TEN,Tennis
5203,NULL,NULL
5207,NULL,NULL
5218,NULL,NULL
5235,NULL,NULL
5256,AQU,Aquatic Sports
5257,NULL,NULL
5262,NULL,NULL
5292,CIV,Civic Affairs
5292,REP,Republican Politics
5304,BTC,Biotechnology
5304,CIV,Civic Affairs
5304,HEA,Health
5304,REP,Republican Politics
5313,NULL,NULL
5323,CIV,Civic Affairs
5323,DEM,Democratic Politics
5325,NULL,NULL
5336,NULL,NULL
5342,CIV,Civic Affairs
5342,DEM,Democratic Politics
5354,BUS,Business
5354,CIV,Civic Affairs
5354,REP,Republican Politics
5367,NULL,NULL
5370,ART,Arts
5370,ATH,Athletics
5370,CIV,Civic Affairs
5370,DEM,Democratic Politics
5370,EDU,Education
